market,clientname,brand,category
Jordan,International Islamic Arab Bank,International Islamic Arab Bank,Finance
Iraq,Izzat Marji and Sons Company,Gree,Consumer Electronics
Saudi Arabia,Juhayna,Juhayna,Food
Egypt,Juhayna,Juhayna,Food
Saudi Arabia,King Faisal Specialist Hospital & Research Center,King Faisal Specialist Hospital & Research Center,Healthcare
Saudi Arabia,King Salman International Airport,King Salman International Airport,Travel
Kuwait,Kuwait Finance House,Kuwait Finance House,Finance
Bahrain,Kuwait Finance House,Kuwait Finance House,Finance
Egypt,Kuwait Finance House,Kuwait Finance House,Finance
United Kingdom of Great Britain and Northern Ireland,Kuwait Finance House,Kuwait Finance House,Finance
United Arab Emirates,Lamb Weston,Lamb Weston,Food
Kuwait,Lamb Weston,Lamb Weston,Food
Saudi Arabia,Lamb Weston,Lamb Weston,Food
Iraq,Lexus,Lexus,Automotive
United Arab Emirates,Lifestyle Choice,Lifestyle Choice,Fashion
Saudi Arabia,Lifestyle Choice,Lifestyle Choice,Fashion
United Arab Emirates,Liwa,TFN,Fashion
Saudi Arabia,Liwa,TFN,Fashion
United Arab Emirates,Liwa,Castore,Fashion
United Arab Emirates,Liwa,GANT,Fashion
Qatar,Liwa,GANT,Fashion
Saudi Arabia,Liwa,GANT,Fashion
Qatar,Lusail International Circuit,Lusail International Circuit,Entertainment & media
Morocco,Margafrique,Butter,Food
Morocco,Margafrique,Cheese,Food
Morocco,Margafrique,Juice,Drinks (non-alcoholic)
Saudi Arabia,Marico,Herbsindia,Personal Care
United Arab Emirates,Marico,Herbsindia,Personal Care
Qatar,Marico,Herbsindia,Personal Care
Bahrain,Marico,Herbsindia,Personal Care
Kuwait,Marico,Herbsindia,Personal Care
Oman,Marico,Herbsindia,Personal Care
Saudi Arabia,Marico,Marico,Personal Care
United Arab Emirates,Marico,Marico,Personal Care
Qatar,Marico,Marico,Personal Care
Bahrain,Marico,Marico,Personal Care
Kuwait,Marico,Marico,Personal Care
Oman,Marico,Marico,Personal Care
United Arab Emirates,McCain,McCain Foods,Food
Saudi Arabia,McCain,McCain Foods,Food
Kuwait,McCain,McCain Foods,Food
Saudi Arabia,Ministry of Culture,Ministry of Culture,Government
Egypt,Misr Spain,Morano,Retail
Bahrain,Moda Mall,Moda Mall,Retail
Saudi Arabia,Modern Electronics,Modern Electronics,Consumer Electronics
Qatar,Mondrian,Mondrian,Travel
Qatar,Msheireb Properties,Msheireb Properties,Real Estate
Saudi Arabia,My Clinic International Medical,My Clinic International Medical,Healthcare
Bahrain,National Bank of Bahrain,National Bank of Bahrain,Finance
Egypt,National Bank of Kuwait,NBK,Finance
Saudi Arabia,National Events Center,National Events Center,Government
Saudi Arabia,National Housing Company,National Housing Company,Real Estate
Egypt,NBE,NBE,Finance
United Arab Emirates,Netflix,Netflix,Entertainment & media
Saudi Arabia,NICE,NICE,Household Items
Jordan,Nuqul Group,Fine,Personal Care
Egypt,Oban,BBC,Entertainment & Media
Lebanon,OLX,OLX,Retail
Oman,Oman Future Telecommunications Company,Vodafone,Telecoms
Egypt,Orascom,Orascom,Finance
United Arab Emirates,Perfetti Van Melle,Mentos,Food
Saudi Arabia,Perfetti Van Melle,Mentos,Food
Kuwait,Perfetti Van Melle,Mentos,Food
Qatar,Perfetti Van Melle,Mentos,Food
Oman,Perfetti Van Melle,Mentos,Food
Bahrain,Perfetti Van Melle,Mentos,Food
Iraq,Perfetti Van Melle,Mentos,Food
Lebanon,Perfetti Van Melle,Mentos,Food
Morocco,Perfetti Van Melle,Mentos,Food
United Arab Emirates,Perfetti Van Melle,Chupa Chups,Food
Saudi Arabia,Perfetti Van Melle,Chupa Chups,Food
Kuwait,Perfetti Van Melle,Chupa Chups,Food
Qatar,Perfetti Van Melle,Chupa Chups,Food
Oman,Perfetti Van Melle,Chupa Chups,Food
Bahrain,Perfetti Van Melle,Chupa Chups,Food
Iraq,Perfetti Van Melle,Chupa Chups,Food
Lebanon,Perfetti Van Melle,Chupa Chups,Food
Morocco,Perfetti Van Melle,Chupa Chups,Food
United Arab Emirates,Perfetti Van Melle,Perfetti Van Melle,Food
Saudi Arabia,Perfetti Van Melle,Perfetti Van Melle,Food
Kuwait,Perfetti Van Melle,Perfetti Van Melle,Food
Qatar,Perfetti Van Melle,Perfetti Van Melle,Food
Oman,Perfetti Van Melle,Perfetti Van Melle,Food
Bahrain,Perfetti Van Melle,Perfetti Van Melle,Food
Iraq,Perfetti Van Melle,Perfetti Van Melle,Food
Lebanon,Perfetti Van Melle,Perfetti Van Melle,Food
Morocco,Perfetti Van Melle,Perfetti Van Melle,Food
United Arab Emirates,Pets Delight,Pets Delight,Pet Care
United Arab Emirates,Property Finder,Property Finder,Real Estate
United Kingdom of Great Britain and Northern Ireland,Public Investment Fund,Public Investment Fund,Government
France,Public Investment Fund,Public Investment Fund,Government
Germany,Public Investment Fund,Public Investment Fund,Government
Japan,Public Investment Fund,Public Investment Fund,Government
Singapore,Public Investment Fund,Public Investment Fund,Government
Saudi Arabia,Public Investment Fund,Public Investment Fund,Government
United Arab Emirates,Public Investment Fund,Public Investment Fund,Government
Qatar,Public Investment Fund,Public Investment Fund,Government
Hong Kong,Public Investment Fund,Public Investment Fund,Government
Switzerland,Public Investment Fund,Public Investment Fund,Government
India,Public Investment Fund,Public Investment Fund,Government
Canada,Public Investment Fund,Public Investment Fund,Government
NIGERIA,Qatar Airways,Qatar Airways,Travel
SOUTH AFRICA,Qatar Airways,Qatar Airways,Travel
KENYA,Qatar Airways,Qatar Airways,Travel
ALGERIA,Qatar Airways,Qatar Airways,Travel
MOZAMBIQUE,Qatar Airways,Qatar Airways,Travel
EGYPT,Qatar Airways,Qatar Airways,Travel
TANZANIA,Qatar Airways,Qatar Airways,Travel
ANGOLA,Qatar Airways,Qatar Airways,Travel
UGANDA,Qatar Airways,Qatar Airways,Travel
ZAMBIA,Qatar Airways,Qatar Airways,Travel
MOROCCO,Qatar Airways,Qatar Airways,Travel
GHANA,Qatar Airways,Qatar Airways,Travel
ETHIOPIA,Qatar Airways,Qatar Airways,Travel
TUNISIA,Qatar Airways,Qatar Airways,Travel
ZIMBABWE,Qatar Airways,Qatar Airways,Travel
RWANDA,Qatar Airways,Qatar Airways,Travel
SUDAN,Qatar Airways,Qatar Airways,Travel
BOTSWANA,Qatar Airways,Qatar Airways,Travel
SEYCHELLES,Qatar Airways,Qatar Airways,Travel
CONGO,Qatar Airways,Qatar Airways,Travel
DJIBOUTI,Qatar Airways,Qatar Airways,Travel
SOMALIA,Qatar Airways,Qatar Airways,Travel
BENIN,Qatar Airways,Qatar Airways,Travel
NAMIBIA,Qatar Airways,Qatar Airways,Travel
MAURITANIA,Qatar Airways,Qatar Airways,Travel
MALI,Qatar Airways,Qatar Airways,Travel
LESOTHO,Qatar Airways,Qatar Airways,Travel
SIERRA LEONE,Qatar Airways,Qatar Airways,Travel
MAURITIUS,Qatar Airways,Qatar Airways,Travel
CAMEROON,Qatar Airways,Qatar Airways,Travel
GAMBIA,Qatar Airways,Qatar Airways,Travel
TOGO,Qatar Airways,Qatar Airways,Travel
BURUNDI,Qatar Airways,Qatar Airways,Travel
BURKINA FASO,Qatar Airways,Qatar Airways,Travel
LIBYA,Qatar Airways,Qatar Airways,Travel
GUINEA,Qatar Airways,Qatar Airways,Travel
MADAGASCAR,Qatar Airways,Qatar Airways,Travel
SOUTH SUDAN,Qatar Airways,Qatar Airways,Travel
GABON,Qatar Airways,Qatar Airways,Travel
